city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
ate 5.000 ,18.54,14.41,4.34,1.8,17.63,11.32,52.35,41.5
adelandia,20.75,14.65,4.88,3.34,18.63,9.34,61.86,47.21
agua limpa,14.69,10.13,6.4,1.22,11.13,7.22,44.86,27.61
aloandia,18.86,14.93,1.66,3.16,13.83,9.55,55.26,38.1
alto horizonte,15.53,12.39,2.49,1.25,15.36,10.72,46.63,49.18
amaralina,23,15.87,5.35,1.83,23.43,14.37,60.98,43.28
amorinopolis,18.63,18.12,3.02,1.38,16.32,12.9,53.42,48.22
anhanguera,9.77,3.73,1.18,0.68,7.27,1.76,35.42,13.61
aparecida do rio doce,17.57,12.9,3.8,2.01,17.68,9.42,47.44,43.6
apore,16.3,12.81,4.52,1.7,15.16,11.14,48.89,39.03
aracu,20.88,16.23,2.84,1.98,19.21,11.54,57.37,45.06
arenopolis,20.4,15.6,2.89,1.07,19.45,9.1,56.68,49.23
aurilandia,17.51,15.3,5.5,1.16,14.99,11.65,44.49,36.97
avelinopolis,19.27,13.52,3.75,1.05,19.51,11.65,51.26,34.85
baliza,22.93,17.35,5.12,1.84,22,16.19,53.44,44.03
bonopolis,20.49,18.81,6.54,2.51,22.77,17.59,45.81,52.75
brazabrantes,15.81,11.06,2.89,1.09,14.04,8.21,51.26,34.86
buriti de goias,14.88,13.8,1.94,2.51,13.96,9.89,47.48,42.06
buritinopolis,32.69,18.69,8.54,3.62,38.49,14.26,82.25,66.97
cachoeira de goias,19.96,14.25,6.97,0.87,17.45,11.35,52.35,38.73
caldazinha,13.34,10.49,2.38,0.76,10.41,7.75,54.03,34.49
campestre de goias,20.98,12.68,4.57,0.99,20.31,10.33,64.88,39.85
campinacu,21.78,13.3,4.98,2.34,22.06,10.61,57.96,37.22
castelandia,22.51,25.25,7.26,4.53,21.99,22.77,56.35,62.72
caturai,18.81,12.6,6.33,0.64,19.51,11.33,44.6,36.52
colinas do sul,19.82,15.93,5.79,2.36,20.21,14.01,52.05,44.1
corrego do ouro,16.27,11.2,3.26,0.52,13.86,7.72,53.11,33.59
cristianopolis,9.67,7.32,2.07,0.67,7.43,5.98,30.51,18.37
crominia,15.83,11.04,2.97,1.49,12.83,7.12,46.9,31.44
cumari,13.7,8.83,3.26,0.48,10.74,5.76,38.27,23.72
damianopolis,28.2,19.52,4.69,1.71,31.56,15.11,75.35,58.8
damolandia,16.86,12.95,2.65,1.35,15.8,9.53,50.43,43.2
davinopolis,18.97,14.79,3.32,0.38,16.24,10.09,59.45,43.61
diorama,18.55,12.83,3.02,1.04,15.08,9.19,59.52,37.0
divinopolis de goias,29.24,21.14,6.59,2.43,33.71,17.92,71.67,60.35
edealina,18.19,11.66,2.54,1.87,15.57,7.93,54.98,32.98
estrela do norte,21.43,15.6,4.47,2.15,21.29,13.67,56.09,43.1
formoso,17.03,13.13,3.65,1.34,15.49,9.68,50,38.57
gameleira de goias,-,12.4,-,4.05,-,9.31,-,36.12
gouvelandia,17.7,17.99,4.38,2.42,17.34,15.72,48.32,48.87
guaraita,19.26,10.72,2.19,0.55,17.56,6.49,62.4,37.35
guarani de goias,30.8,22.8,7.82,3.77,35.74,20.72,74.06,59.0
guarinos,19.22,14.0,3.24,1.89,17.81,9.51,59.7,38.63
heitorai,15.91,13.16,4.43,1.17,14.36,9.15,43.4,41.0
hidrolina,15.36,11.15,2.21,1.55,12.24,7.48,50.21,33.33
ipiranga de goias,-,12.72,-,1.5,-,8.09,-,37.81
israelandia,17.24,13.07,3.23,1.74,15.45,9.03,52.13,38.57
itaguari,19.9,15.02,3.74,1.83,18.37,11.35,55.8,44.24
ivolandia,20.44,13.99,5.2,1.35,16.44,9.84,59.41,38.76
jaupaci,17.73,16.38,3.94,0.93,14.67,12.19,55,44.89
jesupolis,19.52,15.67,5.28,2.81,18.76,12.92,47.37,41.16
lagoa santa,-,6.69,-,0.47,-,4.75,-,23.81
mairipotaba,16.18,11.57,4.57,2.59,13.97,6.81,47.95,36.72
marzagao,15.65,10.7,2.77,1.52,14.13,7.97,45,29.83
matrincha,20.22,17.54,5.34,1.85,20.75,15.38,66.43,52.78
mimoso de goias,27.46,18.81,4.45,1.36,30.31,15.37,68.82,51.35
moipora,15.58,15.59,3.27,0.83,11.68,9.43,50.91,45.76
montividiu do norte,21.4,17.11,4.24,2.01,24.64,13.26,52.96,52.84
morro agudo de goias,15.96,13.46,1.33,1.23,14.92,8.51,49.36,40.78
mutunopolis,21.78,17.82,8.86,1.71,20.09,14.54,55.85,47.77
nova america,19.42,16.41,1.03,1.39,18,10.28,53.39,50.0
nova aurora,15.39,10.16,3.01,0.7,11.91,5.37,47.7,32.84
nova iguacu de goias,17.52,10.55,4.45,0.89,14.31,7.76,59.54,35.8
nova roma,20.71,20.08,5.26,2.78,21.05,18.13,52.3,47.66
novo brasil,18.05,13.1,4.13,1.65,15.8,8.76,50.79,36.2
novo planalto,19.8,18.62,5.34,2.39,20.26,17.02,54.85,48.97
ouro verde de goias,15.74,11.79,3.72,1.6,14.01,9.79,49.6,34.29
palestina de goias,18.84,9.23,2.69,0.67,18.13,7.08,56.54,29.93
palmelo,16.1,10.88,2.53,1.52,14.19,7.09,38.58,29.11
palminopolis,13.31,13.01,2.19,0.73,10.21,8.69,45.23,40.04
panama,19.83,15.62,4.22,2.53,19.22,12.1,43.96,36.84
perolandia,16.45,13.43,4.67,1.9,17.75,10.36,48.13,47.39
pilar de goias,14.99,12.2,4.11,1.59,14.28,8.92,39.49,35.07
porteirao,22.21,12.77,5.06,1.35,25.3,12.15,57.39,43.31
portelandia,15.61,13.78,3.7,1.19,14.39,10.96,49.02,45.24
professor jamil,18.28,15.46,4.42,2.53,15.71,10.78,54.31,45.43
rianapolis,17.99,15.55,3.92,2.25,16.76,12.16,51.57,46.57
rio quente,8.52,4.85,3.75,0.93,7.43,4.15,33.06,16.67
santa cruz de goias,13.69,14.42,5.08,1.49,12.55,11.43,32.35,35.06
santa fe de goias,18.22,12.86,4.83,0.75,18.97,9.72,53.02,49.14
santa isabel,19.16,14.03,4.09,1.23,16.57,10.07,52.54,39.54
santa rita do novo destino,23.73,23.15,5.72,4.82,26.49,21.97,55.46,54.86
santa rosa de goias,19.49,15.08,4.83,0.94,16.41,11.6,56.87,41.51
santa tereza de goias,16.89,14.19,3.35,1.49,16.85,9.88,49.88,39.2
santo antonio da barra,25.66,18.61,8.61,2.17,27.34,17.81,64.24,45.51
santo antonio de goias,14.49,8.57,2.7,1.62,14.34,6.78,62.5,36.04
sao joao da parauna,14.47,12.2,2.12,2.08,12.49,8.01,44.24,35.0
sao luiz do norte,21.65,16.76,4.94,2.55,22.9,13.13,60.3,57.14
sao miguel do passa quatro,11.2,12.37,1.32,1.63,9.73,9.14,46.85,38.31
sao patricio,17.97,11.91,2.41,-,16.09,6.7,57.65,40.86
sitio d'abadia,29.77,23.75,6.53,2.56,35.15,23.89,72.22,67.69
taquaral de goias,17.09,11.4,5.43,0.83,14.26,8.02,44.61,35.73
teresina de goias,30.63,16.16,10.17,2.64,32.56,14.71,73.42,49.33
tres ranchos,10.9,6.44,2.46,0.67,8.44,4.49,37.59,19.32
trombas,18.69,17.83,2.96,2.37,18.15,12.41,53.03,51.1
turvania,15.94,12.33,3.55,1.57,12.94,9.66,48.91,32.41
turvelandia,23.35,17.27,8.6,2.95,25.13,18.14,59.81,45.8
uirapuru,23.24,17.97,5,1.68,24.35,12.42,62.5,52.91
urutai,12.83,8.55,1.35,1.04,10.66,5.36,42.73,27.88
varjao,18.81,15.4,2.87,2.37,15.11,11.2,60.9,41.62
vila boa,26.21,15.88,6.81,3.28,31.38,15.13,70.88,59.59
de 5.001 a 10.000 ,19.1,13.82,4.79,1.83,18.69,11.33,52.64,41.24
abadia de goias,11.97,7.81,2.17,1.12,12.24,6.23,38.01,30.3
agua fria de goias,22.12,14.86,8.19,2.59,23.22,13.31,55.45,44.01
alto paraiso de goias,15.2,11.23,5.03,1.43,16.75,10.56,46.48,37.16
alvorada do norte,22.4,17.41,5.82,1.49,24.35,15.95,64.42,52.66
americano do brasil,18.74,15.71,3.18,1.65,16.23,12.77,57.93,47.11
aragoiania,16.24,10.11,5.19,1.78,14.5,8.13,48.04,30.34
araguapaz,23.8,17.94,6.45,2.04,26.33,14.83,60.48,54.11
aruana,18.06,12.67,5.86,1.55,19.8,12.13,47.68,38.28
barro alto,23.52,12.68,4.93,1.82,22.8,9.72,66.96,49.37
bom jardim de goias,16.93,16.42,3.81,2.06,14.41,12.11,53.71,47.34
bonfinopolis,16.04,10.71,4.4,1.49,15.96,8.61,50,35.82
britania,18.8,15.49,4.8,3.17,19.58,13.33,51.33,41.8
buriti alegre,16.09,9.97,3.15,1.31,12.81,7.38,41.38,25.27
cabeceiras,17.87,13.02,2.91,2.41,19.59,11.34,57.53,43.87
cachoeira dourada,19.47,14.93,3.25,0.97,19.16,11.58,51.6,43.34
campo alegre de goias,11.72,10.72,1.52,1.39,10.28,8.49,41.79,37.85
campo limpo de goias,-,13.66,-,1.43,-,12.7,-,43.06
campos verdes,20.82,19.33,5.18,2.25,23.09,17.47,56.68,52.09
carmo do rio verde,17.49,10.9,3.41,1.25,14.98,8.31,54.71,34.16
cavalcante,41.74,26.9,20.7,5.94,45.27,26.57,74.25,67.29
cezarina,14.34,11.03,2.52,1.14,12.14,8.5,51.77,39.37
chapadao do ceu,5.35,4.51,1.48,0.99,5.24,4.05,36.26,30.2
corumbaiba,10.24,10.08,1.8,1.97,8.63,7.1,31.96,32.24
doverlandia,20.15,15.02,4.86,1.19,20.96,12.9,56.47,42.8
faina,22.95,18.43,4.27,1.05,23.76,14.06,62.13,52.46
fazenda nova,17.94,15.01,2.5,0.85,15.96,10.85,56.02,41.94
goiandira,11.51,8.33,1.83,1.02,8.3,5.5,36.67,23.02
inaciolandia,24.52,19.5,5.09,1.55,26.97,17.8,57,54.46
itaguaru,15.64,14.07,2.72,0.91,15.52,10.05,44.21,39.01
itaja,17.37,10.85,3.59,1.03,17.19,8.68,46.94,31.26
itapirapua,19.57,16.62,4.83,2.55,17.41,12.87,59.3,44.25
itaruma,16.4,12.4,4.77,1.57,16.1,9.98,48.12,39.51
itaucu,16.69,12.1,3.5,0.8,14.63,8.9,48.89,34.33
jandaia,13.79,13.27,2.15,1.32,11.72,9.78,40.4,35.77
joviania,14.15,11.32,3.45,1.38,12.36,10.1,41.59,31.81
leopoldo de bulhoes,15.9,13.6,4.72,2.32,14.84,11.64,48.29,41.1
mambai,28.92,20.22,8.5,2.44,34.17,19.91,70.42,65.0
monte alegre de goias,27.89,25.0,8.59,4.39,31.52,24.24,60.37,61.85
montes claros de goias,17.46,11.72,3.95,1.25,15.89,8.87,52.85,36.61
mossamedes,17.29,14.67,3.9,1.78,15.47,11.45,47.88,38.79
mundo novo,21.24,21.04,5.86,2.12,23.8,18.8,54.56,55.03
nazario,14.54,12.72,2.98,1.8,12.79,9.36,45.54,40.24
nova gloria,18.77,15.17,3.46,1.15,14.73,10.09,54.73,42.69
nova veneza,15.1,8.66,2.39,1.29,12.83,5.96,50.24,30.6
ouvidor,10.77,6.71,1.5,1.24,8.16,3.85,36.95,23.5
paranaiguara,17.69,13.81,2.72,0.97,14.32,9.52,52.76,44.02
sanclerlandia,16.49,12.68,2.99,1.12,15.02,9.2,50.14,38.85
santa barbara de goias,16.54,12.8,2.73,1.27,15.85,10.56,55.29,43.44
santa rita do araguaia,15.89,10.04,2.27,2.06,15.36,7.24,48.68,35.74
sao francisco de goias,19.69,14.85,3.97,3,18.97,11.14,55.27,42.21
serranopolis,17.26,12.57,5.18,2.56,15.66,10.33,48.34,36.86
simolandia,28.06,17.79,5.62,2.48,33.39,16.42,72.51,58.92
terezopolis de goias,19.16,12.84,5.13,2.22,20.31,11.3,55.46,41.84
vicentinopolis,17.63,12.68,5.08,2.09,17.58,11.86,55.92,41.91
vila propicio,28.05,19.25,8.54,3.38,30.87,17.62,60.81,48.78
de 10.001 a 20.000 ,16.43,12.45,3.99,1.63,15.64,10.18,49.84,39.05
abadiania,17.55,10.84,3.9,1.52,16.76,8.51,49.52,37.62
aragarcas,13.11,9.06,2.64,1.18,11.86,6.62,50.33,34.99
cachoeira alta,17.39,11.04,3.5,1.57,15.45,7.83,48.56,38.15
cacu,14.76,8.93,2.6,1.18,12.28,6.45,46.24,28.35
caiaponia,19.6,14.8,4.75,2,18.97,12.51,51.63,39.91
campinorte,18.02,11.87,3.5,1.57,18.3,9.15,51.64,42.92
campos belos,20.42,15.2,5.13,2.05,22.63,13.34,59.91,54.28
cocalzinho de goias,20.06,12.55,5.14,1.74,21.25,10.63,60.12,44.49
corumba de goias,20.6,15.47,3.02,1.59,20.98,12.21,56.64,45.01
crixas,17.94,11.96,4.47,1.33,17.26,9.32,55.89,41.27
edeia,15,12.46,3.01,1.32,14.5,10.33,46.25,38.72
firminopolis,15.69,10.78,2.3,1.05,12.64,6.17,48.86,34.56
flores de goias,24.42,17.34,7.6,4,28.98,18.05,58.6,41.84
goianapolis,17.74,16.41,5.53,2.38,18.14,14.64,56.38,50.38
guapo,14.79,10.87,3.26,2.55,13.83,8.71,47.05,32.5
hidrolandia,14.39,7.09,3.27,1.3,13.48,5.98,43.98,21.76
iaciara,23.31,19.49,6.81,2.92,26.37,19.15,62.16,57.93
indiara,16.52,12.28,3.42,1.75,16.11,10.33,53.9,42.29
itapaci,16.39,12.93,4.25,1.66,15.38,11.3,48.64,40.03
jussara,16.71,12.53,3.84,1.32,15.85,9.43,52.49,40.09
mara rosa,19.77,15.71,5.7,1.51,19.64,13.42,52.89,42.98
maurilandia,20.87,14.95,7.6,1.68,21.03,15.51,53.37,43.65
montividiu,14.38,9.45,4.45,1.04,14.53,8.91,49.51,36.31
mozarlandia,17.53,13.2,4.36,1.75,18.05,11.12,50.94,47.99
nova crixas,23.19,19.09,9.56,2.77,25.27,18.03,56.65,54.61
orizona,11.71,8.16,1.88,0.79,9.51,5.33,38.01,26.33
parauna,16.62,11.73,4.49,1.3,16.21,9.03,49.29,37.23
petrolina de goias,19.88,9.95,4.3,0.7,18.47,7.19,55.27,32.68
piranhas,17.07,14.58,2.78,1.35,15.47,10.58,52.28,41.91
pontalina,15.33,14.08,2.92,2.62,12.19,10.3,48.52,37.83
rialma,11.73,8.25,2.46,0.66,10.18,5.77,39.93,29.6
rubiataba,14.86,9.99,2.62,0.8,12.98,6.79,47.29,34.67
santa terezinha de goias,19.1,14.4,4.31,1.78,19.17,11.55,55.52,43.67
sao domingos,29.44,23.37,9.47,3.49,33.04,22.31,66.5,62.71
sao joao d'alianca,18.29,14.22,5.4,1.36,18.78,12.6,47.98,50.17
sao simao,16.51,11.67,1.91,1.01,14.21,8.49,51.48,41.96
silvania,13.35,8.5,3.21,0.92,11.7,5.93,44.78,30.75
uruana,14.9,12.8,3.75,1.59,13.71,10.29,45.72,35.69
vianopolis,13.78,7.97,3.03,1.13,13.05,6.04,43.95,27.79
de 20.001 a 50.000 ,14.49,10.74,3.4,1.42,13.54,8.37,46.19,35.95
acreuna,18.63,14.58,7.18,2.13,19,13.69,51.61,42.57
alexania,17.68,11.73,4,1.68,17.34,9.14,53.04,39.03
anicuns,15.92,10.35,2.45,0.9,14.82,7.35,50.76,38.64
bela vista de goias,13.55,9.37,3.3,1.59,12.11,6.93,41.99,31.67
bom jesus de goias,17.47,11.03,4.79,1.54,16.8,9.81,53.13,37.45
ceres,11.91,7.59,1.58,1.02,9.86,4.56,41.94,29.52
cristalina,13.78,9.11,4.67,1.72,14.14,8.78,42.89,30.93
goianira,13.13,8.3,3.19,1.78,12.86,6.85,47.94,34.64
goias,16.22,13.5,4.09,1.57,15.06,10.37,47.25,38.77
goiatuba,12.37,9.42,3.03,1.38,10.65,6.65,38.42,30.41
inhumas,13.5,10.07,3.11,1.31,12.09,7.85,43.81,32.71
ipameri,11.63,9.79,2.53,2.06,8.94,7.19,36.58,29.04
ipora,14.04,11.93,2.04,1.05,11.1,7.46,49.71,39.56
itaberai,17.5,10.37,4.72,1.19,17.39,8.67,49.11,36.23
itapuranga,19.21,14.27,3.38,1.26,17.37,10.12,59.49,45.31
jaragua,14.93,9.67,3.61,1.29,14.31,7.85,46.18,35.49
minacu,14.69,13.55,3.22,1.15,15.24,11.04,55.38,45.64
morrinhos,12.25,8.05,2.16,1.09,9.72,5.5,40.47,26.27
neropolis,13.76,8.49,3.39,1.11,12.91,6.61,47.25,34.37
niquelandia,17.74,12.4,3.78,1.3,18.09,9.44,56.31,46.99
padre bernardo,19.6,14.2,5.84,2.19,21.05,11.79,53.25,47.53
palmeiras de goias,13.69,9.73,2.6,1.14,12.05,7.37,43.47,33.75
piracanjuba,13.52,10.07,3.04,1.33,11.44,7.29,39.8,27.65
pirenopolis,17.39,10.88,4.73,1.71,16.75,8.95,47.04,32.13
pires do rio,10.03,7.64,1.92,0.93,7.27,4.54,37.17,27.44
porangatu,14.7,10.58,2.77,1.39,14,8.35,48.95,36.79
posse,23.52,15.28,7.44,2.02,26.49,14.88,62.93,52.46
quirinopolis,14.38,9.91,2.25,1.29,12.39,6.95,46.91,34.78
santa helena de goias,17.83,12.43,5.34,1.49,18.09,10.7,47.26,36.74
sao luis de montes belos,13.43,9.71,1.58,0.99,10.51,6.02,49.47,35.42
sao miguel do araguaia,18.97,12.35,4.82,1.75,19.54,10.08,53.21,38.06
uruacu,16.14,11.06,3.67,1.43,14.88,8.03,50.19,38.32
de 50.001 a 100.000 ,11.72,7.35,3.31,1.2,11.65,5.97,42.25,29.58
caldas novas,8.29,5.57,2.35,1.11,8.16,4.73,29.26,18.52
catalao,8.75,5.53,1.53,0.97,7.05,3.68,36.49,23.95
cidade ocidental,6.75,5.44,2.62,1.2,6.84,5.02,29,23.93
goianesia,15.34,10.0,3.07,0.98,14.53,7.71,50.09,38.28
itumbiara,12.19,7.85,2.53,0.99,10.8,5.55,39.81,27.29
jatai,11.3,7.14,2.38,0.97,9.96,4.96,39.8,27.39
mineiros,13.39,7.55,2.98,1.1,12.55,5.95,44.28,29.33
novo gama,11.86,6.8,4.05,1.4,13.16,6.2,45.08,32.83
planaltina,15.67,10.08,5.8,1.74,17.43,9.54,52.9,41.58
santo antonio do descoberto,15.73,9.05,4.82,1.49,17.83,8.22,50.72,39.16
senador canedo,11.11,6.54,2.6,1.15,11.25,5.44,48.97,33.91
de 100.001 a 500.000 ,9.94,6.21,2.69,1.06,9.67,5.13,39.42,27.42
aguas lindas de goias,12.76,7.01,5.2,1.43,14.13,7.03,48.45,35.03
anapolis,8.83,5.77,1.76,0.69,7.69,4.09,34.4,23.18
aparecida de goiania,8.71,5.3,2.26,1.03,8.52,4.31,42.53,26.97
formosa,13.45,8.61,3.5,1.26,14.08,7.09,45.91,36.08
luziania,12.03,7.95,3.46,1.19,12.76,6.97,43.05,34.58
rio verde,11.59,6.45,3.14,0.99,10.79,5.43,41.24,26.65
trindade,12.02,8.22,3.17,1.68,11.07,6.55,45.58,30.7
valparaiso de goias,7.42,3.62,2.75,0.87,7.94,3.25,28.96,18.12
mais de 500.000 ,5.18,3.29,1.24,0.67,4.31,2.31,23.26,13.61
goiania,5.18,3.29,1.24,0.67,4.31,2.31,23.26,13.61