index;0
secretaria;21
federal;14
de;1518
controle;56
interno;31
programa;21
fiscalizacao;26
em;274
entes;3
federativos;2
v;10
o;402
ciclo;2
numero;8
do;353
relatorio;14
sumario;1
executivo;1
placido;118
castro;119
ac;105
introducao;5
este;18
trata;3
dos;240
resulta;1
exames;24
realizados;17
sobre;30
tres;7
acoes;52
governo;7
executadas;2
pela;61
prefeitura;139
municipal;86
decorrencia;2
a;630
teve;5
como;50
objetivo;18
analisar;1
aplicacao;17
recursos;110
federais;34
repassados;12
ao;137
municipio;55
relativ;1
s;61
periodo;28
escop;1
indicado;1
individualmente;1
cada;11
acao;10
tendo;13
sido;19
os;228
trabalhos;9
campo;11
executados;5
no;230
agosto;51
as;176
examinadas;1
por;113
ocasiao;2
da;318
foram;92
nacional;8
alimentacao;27
escolar;29
pnae;27
incentivo;1
financeiro;2
aos;31
estados;4
distrito;4
e;432
municipios;7
para;239
vigilancia;30
saude;82
combate;27
mosquito;20
edes;1
aegypt;1
bloco;33
atencao;33
basica;37
es;7
trita;1
observancia;1
normas;4
aplicaveis;1
servico;8
publico;2
utilizadas;1
dentre;2
outras;2
tecnicas;4
inspec;1
fisica;11
registros;7
fotograficos;3
analise;32
documenta;1
l;3
realizacao;14
entrevistas;7
questionarios;1
ituacoes;1
evidenciadas;6
nos;50
segmentadas;1
acordo;7
com;171
competencia;4
mo;3
nitoramento;1
ser;21
realizado;8
pelo;77
ministerio;24
transparencia;2
controladoria;12
geral;12
uniao;10
primeira;3
parte;24
destinad;1
orgaos;6
entidades;2
d;25
administracao;4
publica;1
gestores;13
programas;7
execucao;28
descentralizada;1
apresentara;1
situacoes;16
que;347
principio;1
demandarao;4
adocao;10
medidas;15
preventivas;4
corretivas;12
desses;2
visando;5
melhoria;4
ou;32
instauracao;4
competente;4
tomada;8
contas;15
especiais;3
quais;10
serao;21
monitoradas;4
na;82
segunda;1
apresentadas;11
decorr;1
levantamentos;1
necessarios;2
adequada;6
contextualizacao;1
das;104
constatacoes;5
relatadas;3
dessa;5
forma;20
compoem;5
conhecimento;7
ministerios;4
repassadores;4
bem;26
defesa;4
estado;16
providencias;18
ambito;11
suas;20
competencias;6
embora;8
nao;208
exijam;4
isoladas;4
part;1
pastas;5
ministeriais;4
realizara;4
monitoramento;7
isolado;4
saneadoras;3
relacionadas;12
estas;7
in;7
dicado;1
res;1
socioeconomicos;1
ente;2
fiscalizado;11
populacao;1
indice;1
pobreza;1
pib;1
per;4
capita;3
eleitores;1
area;8
fonte;16
sitio;1
ibge;1
formacoes;1
realizadas;23
fiscalizados;1
qt;1
montante;9
educacao;17
totalizacao;4
aperfeicoamento;1
sistema;10
unico;3
sus;3
financeira;10
executores;1
previamente;2
informados;1
fatos;9
relatados;1
apresentado;8
manifestacoes;2
acerca;5
detectadas;6
integradas;1
conteudo;2
cabendo;1
supervisor;1
casos;3
pert;1
inentes;1
adotar;5
consecucao;2
politicas;1
publicas;2
apuracao;1
responsabilidades;1
consolidacao;1
resultados;7
durante;11
constatadas;1
varias;2
falhas;12
relativas;1
recu;1
rsos;1
fe;1
derais;1
examinados;2
sequencia;1
delineiam;1
se;254
maior;4
relevancia;2
quanto;24
impactos;1
efetividade;3
avaliadas;1
detectou;1
bens;34
alimenticios;20
armazens;8
escolas;75
deficitario;2
aumentando;1
risco;3
eventuais;2
pagamentos;15
produtos;22
entregues;20
alem;37
disso;30
contratou;6
apenas;12
um;34
profissional;14
nutricionista;27
carga;13
horaria;13
semanal;4
dez;3
horas;4
indo;1
encontro;2
resolucao;23
cfn;8
recomenda;1
existencia;7
responsavel;19
tecnico;7
minima;9
h;6
semanais;7
dois;8
nutricionistas;6
habilitados;3
quadro;24
equipe;8
nas;38
fiscalizadas;2
constatou;37
ausencia;7
telas;4
milimetricas;5
protecao;6
insetos;5
seus;8
comprovante;7
pragas;4
ademais;14
f;6
oram;1
encontrados;5
alimentos;28
natura;3
improprios;3
consumo;10
duas;7
cinco;10
visitadas;4
possuiam;9
refeitorio;4
fim;38
destaca;4
atuacao;11
deficitaria;2
conselho;22
cae;59
esta;21
acompanhando;2
todas;11
fases;3
desacordo;9
prerrogativas;3
legais;4
regimentais;5
aedes;18
aegypti;16
realizou;22
irregularmente;5
transferencias;8
conta;82
destinada;8
sem;6
justificar;2
destinacao;4
despesas;11
foi;44
possivel;9
constatar;3
tem;13
aplicado;3
tempestiva;3
financeiros;16
transferidos;30
tambem;13
evidenciaram;3
ineficacia;2
gestao;26
atividades;29
ligadas;2
capacitacao;14
agentes;14
endemias;17
ace;10
nove;3
exercicio;11
somente;7
passaram;2
treinamento;12
previo;2
outros;10
sete;3
receberam;6
inicial;9
exercer;3
muito;3
menos;5
continuado;2
tocante;2
insumos;29
escentralizados;1
condicoes;13
armazenamento;17
utilizados;20
sao;39
inadequadas;3
avaliar;10
comp;2
atibilidade;1
precos;20
praticados;10
aquisicoes;11
ofertados;3
mercado;9
verificou;35
adquiriu;3
tablets;8
valor;27
acima;7
media;4
ofertada;2
causando;2
prejuizo;4
est;1
imado;1
r;83
erario;6
avaliados;4
movimentados;7
sua;38
totalidade;6
especifica;24
vista;11
total;23
transferido;6
municip;2
io;3
preceitua;2
art;30
decreto;6
junho;21
estabelece;10
depositados;5
mantidos;8
aberta;6
instituicoes;6
financeiras;6
oficiais;5
apesar;3
anali;1
estar;6
segmentada;1
ministerial;1
deve;5
perder;1
aspectos;2
transversais;1
caracterizam;1
mais;9
fortemente;1
deficiencias;1
sendo;16
pois;4
aqueles;1
corrigidos;3
tendem;1
gerar;1
relevantes;3
melhorias;1
ordem;4
uf;3
orgao;11
instrumento;5
transferencia;41
aplica;2
unidade;37
examinada;26
inanceiros;3
entre;14
visaram;1
fiscalizar;2
apoio;6
constitui;2
epasse;1
oferta;1
alunos;8
matriculados;3
etapas;3
modalidades;1
redes;1
qualificadas;1
filantropicas;1
elas;4
mantidas;1
objetivaram;3
verificar;29
fundo;11
desenvolvimento;2
fnde;10
janeiro;15
regularmente;2
aplicados;10
vistas;5
atender;3
necessidades;1
nutricionais;3
estudantes;1
permanencia;1
sala;3
aula;2
contribuindo;1
crescimento;1
biopsic;1
ossocial;1
aprendizagem;1
rendimento;1
formacao;6
habitos;1
alimentares;2
saudaveis;1
nesse;11
repassou;1
p;10
lacido;1
analisada;1
m;24
unicipais;1
selecionadas;4
segundo;5
criterio;5
materialidade;4
especial;2
armazenagem;1
preparo;3
fornecimento;4
seguintes;11
elias;2
mansour;2
simao;2
casinha;7
saber;9
jose;3
valmir;3
lima;3
urbana;2
domingos;2
galdino;2
ligia;9
carvalho;8
silva;10
rural;3
constituicao;4
efetivo;1
desempenho;1
coleg;1
iado;1
carater;2
fiscalizador;1
permanente;1
deliberativo;1
assessoramento;1
instituido;1
fins;1
propostos;1
analisados;3
processos;16
licitatorios;11
vigentes;3
peri;1
odo;2
contratual;2
resultante;1
certames;1
movimentacao;12
outrossim;1
vistorias;1
armazem;18
municipais;7
nutricao;5
servidores;3
terceirizados;1
at;4
uam;1
preparacao;4
apresentados;23
saneamento;3
encontradas;6
realizada;24
nesta;7
peciais;1
contratados;10
abaixo;3
parametros;1
previstos;1
fato;66
atuac;1
responsaveis;2
solicitaram;6
informacoes;13
profissionais;10
respectivos;4
cabe;20
informar;3
cidade;1
possuia;1
atendidos;2
conforme;32
quantitativo;9
implica;1
n;6
devidamente;12
habilitado;3
re;2
gional;1
minimo;3
estipulado;1
norma;1
supramencionada;1
saliente;1
ainda;21
contrato;8
aditivo;1
fazem;2
mencao;3
manifestacao;47
meio;42
anexos;14
oficio;24
pmpc;29
semed;39
setembro;30
placi;2
assim;30
manifestou;28
desconhecimento;2
legislacao;8
constatado;4
base;6
teremos;1
contratar;1
profissi;1
onais;1
colocamos;1
manifestacaounidadeexaminada;19
limitou;2
afirmar;2
desconhecia;1
afirmou;4
generica;3
ira;4
regularizar;3
situacao;9
mas;24
apresentou;19
elementos;5
indiquem;5
efetivas;2
contratacao;11
analisecontroleinterno;23
cardapios;29
elaborados;10
contem;4
possam;1
permitir;2
calculos;1
cobertura;3
nutricional;3
exigida;2
elaboracao;7
atende;3
requisitos;5
tecnicos;3
afericao;1
valores;32
obedecer;1
principios;1
variedade;1
harmonia;1
considerando;6
frequencia;1
pratos;1
grupos;1
compo;1
solicitou;5
atenderam;1
contempladas;4
ate;11
vidamente;1
anteriormente;3
inicio;3
periodos;1
letivos;1
contudo;11
alimento;4
tais;3
proteina;1
lipidios;1
carboidratos;1
vitamina;1
calcio;1
ferro;1
caloricos;1
totais;1
expressos;1
grama;1
miligramas;1
mililitros;1
tal;8
impede;1
verifiquem;1
limites;1
maximos;1
impostos;1
relacao;18
capitas;1
feitas;1
sim;5
planilhas;6
excel;1
encontram;5
manif;2
estacaounidadeexaminada;2
rgumentou;2
existem;3
entretanto;6
disponibilizadas;1
nem;5
somatorio;2
quantidades;5
informadas;1
termos;14
remessa;15
generos;9
inferior;2
atestadas;1
notas;10
fiscais;9
aquisicao;16
controles;16
estoques;2
alim;1
enticios;1
adquiridos;18
estao;15
maneira;4
eficiente;1
guias;15
recebimento;14
central;2
localizado;2
coteja;1
las;1
estabelecimentos;1
ensino;2
quantitativos;9
equivalentes;2
possui;8
atestos;2
contabilizam;1
compra;6
agregada;1
mes;7
porem;10
entregas;6
global;3
uma;28
data;14
parceladas;1
variando;1
carnes;1
oriundos;4
agricultura;4
familiar;5
parcelada;1
pratica;3
portanto;5
ha;12
estoque;12
regist;2
ros;1
semanalmente;1
efetuado;2
exclusivamente;7
espelha;1
fluxo;1
apresenta;4
planilha;7
escola;17
designacao;2
preenchidos;1
momento;6
despacho;1
funcionar;2
imprime;1
corrige;1
mao;1
impressos;1
impedindo;1
interpretacao;2
correta;1
certeza;3
quando;11
entrega;18
todos;9
produto;10
disponibilizado;3
entrevista;5
gestor;14
estes;5
registro;13
destas;2
ntregas;1
totalmente;2
confiaveis;1
possuem;4
semelhante;1
mesmos;4
problemas;3
apontados;2
impressas;1
corrigido;2
remessas;1
compararam;2
amostra;6
tomando;2
referencia;3
ano;12
fidedignas;1
seguir;8
comparativo;1
guia;7
diferenca;3
kg;47
carne;16
bovina;16
maio;9
salsicha;4
frango;8
peito;4
abril;6
arroz;8
marco;5
ultimo;3
comparou;1
via;3
equiva;1
lentes;1
selecionou;1
seis;2
sintetiza;1
achados;1
enviados;3
alime;2
nticios;1
preco;18
unitario;3
quantidade;12
adquirida;2
enviada;2
coxa;4
sobrecoxa;4
leite;6
c;31
lt;2
hot;2
dog;2
fornecidos;8
analisando;2
constantes;4
quadros;1
constata;7
houve;20
diferencas;1
significativas;2
exemplo;4
apena;1
computando;1
exercicios;4
perfaz;1
litros;7
nota;8
fiscal;5
mesmo;14
inspecao;10
dia;12
havia;8
informacao;5
confirmada;2
inventario;2
neste;3
interim;2
novas;2
outra;2
inconsistencia;1
verificada;1
emitida;1
ultima;1
ocorreu;5
item;3
posto;1
isso;7
exist;1
encia;1
salientar;3
virtude;2
deficiencia;1
imprecisoes;1
mencionadas;1
emitir;2
opiniao;1
ocorrencia;6
pagamento;19
superfaturamento;3
apontar;1
configuram;1
razoavel;1
atraves;1
termo;4
qual;5
adq;1
uirido;1
consta;2
itens;7
serem;2
faltam;1
alguns;6
posteriormente;2
afirmam;1
referente;9
demais;6
consideracoes;3
iremos;3
adequar;2
melhor;3
con;3
trole;1
informou;8
realizariam;1
arma;1
zem;1
tampouco;3
impropriedades;4
apontadas;8
avaliacao;6
estruturacao;1
intuito;2
constituido;3
membros;16
formalmente;2
designados;2
indicacao;1
pelos;16
segmentos;1
processo;9
escolha;2
representantes;2
elaborado;4
egimento;1
i;10
nterno;1
atos;2
seu;3
regimento;6
documentos;27
relacionados;3
objeto;6
adicionalmente;1
presidente;8
visita;7
locais;3
onde;5
reune;1
lei;9
alterado;1
pe;6
la;1
aprovado;1
composicao;2
segue;2
disposto;3
comprovacao;6
assembleia;1
consignad;1
ata;5
pais;3
sociedade;1
civil;1
forneceu;1
formal;2
deg;2
pre;1
ve;3
nomeacao;1
conselheiros;1
ato;2
especifico;3
prefeito;5
possua;1
estrutura;2
propria;5
reunioes;9
convocadas;1
dependencias;3
infraestrutura;1
mesas;1
cadeiras;1
computadores;1
impressoras;1
arquivos;2
informado;2
q;3
uando;1
necessario;3
coloca;1
disposicao;1
veiculo;1
proprio;7
transporte;2
emitiu;1
pareceres;1
rados;1
conselhos;1
igecon;1
vencidos;4
deteriorados;4
qualidade;3
localizavam;1
seleca;1
recebidos;4
manufaturados;1
industrializados;1
estavam;13
dentro;1
validade;6
sinais;2
deterioracao;3
decorrentes;1
fungos;1
produtores;1
estragados;3
mofo;5
haviam;3
ntregues;1
anterior;2
inquirir;1
merendeiras;9
porque;4
terem;3
aceitado;1
naquelas;1
afirmaram;2
recebiam;1
eram;7
rapidamente;1
tempo;5
detectar;1
relatos;1
comum;2
nestas;2
fotos;4
foto;14
cenouras;2
bacia;1
bananas;2
mamoes;1
descartados;1
merendeira;1
mandioca;4
encontrada;3
corte;1
transversal;1
demonstrando;2
impropria;3
mamao;2
passado;1
estragadas;2
mandiocas;3
banana;2
enviou;1
pelas;2
casinh;1
manifestam;1
of;33
b;13
vem;4
cortada;3
facilitando;2
verduras;1
algumas;7
vezes;3
chegam;5
murchas;1
machucadas;1
ja;21
otimo;1
pago;4
grande;2
chega;1
sempre;2
necessidade;4
selecionar;1
murchos;1
macaxeira;1
cenoura;1
questao;1
so;5
pontas;1
escuras;1
estava;4
feito;4
selecao;2
suficiente;6
bom;2
pagos;2
todavia;12
qualquer;2
documentacao;10
comprove;2
venio;1
extensao;2
agroflorestal;1
producao;2
seaprof;2
deste;9
convenio;1
essa;3
origem;3
ornecimento;1
fornecida;1
colaboradores;9
contrario;3
era;3
entregue;5
casca;2
fatiou;1
demonstrar;2
penetrado;1
interior;1
tuberculo;1
frise;1
vistoria;3
seguinte;2
cortadas;1
estragariam;1
outro;5
recebidas;1
destacar;16
demonstraram;2
ter;7
ciencia;1
problema;1
algum;2
seleciona;1
los;1
ap;1
resentados;1
quaisquer;2
comunicando;1
mau;1
seja;4
instalacoes;2
fisicas;4
ntos;1
merenda;7
escolhidas;1
ecebidos;1
geladeira;1
freezer;1
pereciveis;2
edificacoes;1
salas;2
boas;1
ondicoes;1
ventiladas;2
proximos;2
banheiros;1
expostos;1
insalubridade;1
organizados;2
prateleiras;1
integras;1
genero;1
separados;1
pilhas;1
afastados;1
paredes;2
ram;1
fixados;1
murais;1
anotacoes;1
diarias;3
saida;4
seguem;1
adaptando;1
caso;4
atraso;2
falta;3
u;11
preparados;1
cozinhas;2
equipamentos;16
apropriados;1
higienizacao;1
utensilios;1
ordenados;1
armarios;1
su;2
ficiente;1
demanda;3
respectivas;1
usam;1
equipamento;5
higiene;1
toucas;1
aventais;1
houvesse;1
reclamacoes;3
tamanho;1
destes;4
tanto;2
janelas;1
tela;10
impedir;2
entrada;5
nenhuma;4
exemplificando;1
janela;2
outubro;4
fef;1
servimos;1
presente;3
encaminhar;1
anexo;6
vossa;1
senhoria;1
praga;1
rede;2
contra;5
roedores;1
aves;1
infestacao;1
contaminacao;2
informamos;3
apresentando;1
solicita;2
autorizacao;2
pagar;3
importancia;2
empresa;9
j;1
nunes;1
nascimento;1
me;4
servicos;10
dedetizacao;1
empenho;4
naquele;1
efetivamente;5
mera;1
expectativa;1
comunicou;1
providenciando;2
instalacao;1
comprobatoria;3
cuja;3
primaria;3
pertence;3
executor;4
recurso;3
fede;1
rais;1
teste;2
aceitabilidade;5
examinado;3
fito;2
testes;7
t;7
conformidade;3
operacionais;3
disponibilizacao;2
onstatou;1
nenhum;6
declaracao;1
escrita;1
tenha;2
justificado;1
var;1
iacoes;1
devem;4
aceitacao;3
frequentemente;2
nexos;1
realmente;5
renovado;1
licitados;1
tao;1
pouco;4
questionamento;2
reclamacao;1
preparacoes;1
servidas;4
contro;3
le;3
alterados;1
refeicoes;3
novamente;2
independentemente;2
variacoes;1
cardapio;3
apreciacao;5
realizaram;1
atual;3
ambas;2
nutricio;1
nista;1
ativo;2
assuntos;2
relativos;2
atribuicoes;7
confirmou;1
participacao;4
ativa;3
atas;4
encontraram;1
indicacoes;1
tenham;2
discussao;1
deliberacao;1
buscou;1
efetuar;1
deverao;1
SS;1
artigo;4
dispoe;2
justificativa;1
apresentada;4
mitigar;1
falha;2
apontada;2
enviar;1
acumulo;3
cargos;4
atuam;1
acional;1
scolar;1
indevido;2
realiz;5
regime;2
temporario;1
reg;1
ional;1
faz;3
cumprida;2
lem;1
vinculo;1
contratado;2
esporte;1
see;1
acre;2
vinculos;3
empregaticios;3
clinica;1
particular;1
desta;5
incorre;1
publicos;6
tre;2
inciso;7
xvi;1
especificar;1
horario;1
atendimento;1
consul;1
torio;2
propriedade;1
partir;4
afirma;2
aditivos;1
renovaram;1
desconformidade;1
normativos;8
vez;4
recomend;1
cumpra;1
poss;1
ui;1
vedado;1
pauta;7
compras;16
compunham;1
mesmas;4
elaboradas;2
relativa;1
pautas;3
guardam;3
er;1
am;1
coordenadora;2
social;4
periodicamente;2
enviava;1
oficios;6
solicitando;2
anexa;1
sta;1
